timestamp,delta_t_ms,x1_raw,x2_raw,x1_corrected,x2_corrected,differential,processed
2026-02-27T17:21:29.497464,0.000,-12.0200,-24.0400,-5.0334,-3.0952,-1.9382,0.0000
2026-02-27T17:21:29.498267,0.803,-9.6160,-24.0400,-2.6294,-3.0952,0.4658,0.0000
2026-02-27T17:21:29.598516,100.249,-9.6160,-24.0400,-2.6294,-3.0952,0.4658,0.0000
2026-02-27T17:21:29.599504,0.988,-9.6160,-25.2420,-2.6294,-4.2972,1.6678,0.0000
2026-02-27T17:21:29.648167,48.663,-13.2220,-22.8380,-6.2354,-1.8932,-4.3422,0.0000
2026-02-27T17:21:29.649207,1.040,-12.0200,-24.0400,-5.0334,-3.0952,-1.9382,0.0000
2026-02-27T17:21:29.697783,48.576,-10.8180,-25.2420,-3.8314,-4.2972,0.4658,0.0000
2026-02-27T17:21:29.749801,52.018,-12.0200,-24.0400,-5.0334,-3.0952,-1.9382,0.0000
2026-02-27T17:21:29.751035,1.234,-12.0200,-25.2420,-5.0334,-4.2972,-0.7362,0.0000
2026-02-27T17:21:29.797140,46.105,-10.8180,-19.2320,-3.8314,1.7128,-5.5442,0.0000
2026-02-27T17:21:29.848053,50.913,-10.8180,-24.0400,-3.8314,-3.0952,-0.7362,0.0000
2026-02-27T17:21:29.849083,1.030,-8.4140,-24.0400,-1.4274,-3.0952,1.6678,0.0000
2026-02-27T17:21:29.898046,48.963,-14.4240,-22.8380,-7.4374,-1.8932,-5.5442,0.0000
2026-02-27T17:21:29.948171,50.125,-12.0200,-24.0400,-5.0334,-3.0952,-1.9382,0.0000
2026-02-27T17:21:29.997315,49.144,-8.4140,-25.2420,-1.4274,-4.2972,2.8698,0.0000
2026-02-27T17:21:29.998065,0.750,-9.6160,-25.2420,-2.6294,-4.2972,1.6678,0.0000
2026-02-27T17:21:30.048369,50.304,-8.4140,-25.2420,-1.4274,-4.2972,2.8698,0.0000
2026-02-27T17:21:30.100216,51.847,-13.2220,-21.6360,-6.2354,-0.6911,-5.5442,0.0000
2026-02-27T17:21:30.101735,1.519,-12.0200,-25.2420,-5.0334,-4.2972,-0.7362,0.0000
2026-02-27T17:21:30.148827,47.092,-9.6160,-22.8380,-2.6294,-1.8932,-0.7362,0.0000
2026-02-27T17:21:30.199113,50.286,-9.6160,-27.6460,-2.6294,-6.7011,4.0718,0.0000
2026-02-27T17:21:30.199960,0.847,-9.6160,-24.0400,-2.6294,-3.0952,0.4658,0.0000
2026-02-27T17:21:30.248082,48.122,24.0400,-18.0300,31.0266,2.9148,28.1118,0.0000
2026-02-27T17:21:30.351400,103.318,60.1000,-15.6260,67.0866,5.3188,61.7678,9.5293
2026-02-27T17:21:30.353241,1.841,85.3420,-14.4240,92.3286,6.5209,85.8078,23.7560
2026-02-27T17:21:30.354669,1.428,103.3720,-12.0200,110.3586,8.9248,101.4338,35.7018
2026-02-27T17:21:30.401209,46.540,111.7860,-13.2220,118.7726,7.7229,111.0498,48.0897
2026-02-27T17:21:30.446783,45.574,112.9880,-18.0300,119.9746,2.9148,117.0598,63.9333
2026-02-27T17:21:30.448286,1.503,114.1900,-13.2220,121.1766,7.7229,113.4538,75.3790
2026-02-27T17:21:30.497817,49.531,114.1900,-14.4240,121.1766,6.5209,114.6558,87.7745
2026-02-27T17:21:30.547855,50.038,115.3920,-14.4240,122.3786,6.5209,115.8578,90.9725
2026-02-27T17:21:30.549302,1.447,121.4020,-16.8280,128.3886,4.1168,124.2718,93.3623
2026-02-27T17:21:30.597647,48.345,121.4020,-13.2220,128.3886,7.7229,120.6658,97.8669
2026-02-27T17:21:30.646810,49.163,127.4120,-14.4240,134.3986,6.5209,127.8778,103.3441
2026-02-27T17:21:30.697859,51.049,133.4220,-13.2220,140.4086,7.7229,132.6858,108.9376
2026-02-27T17:21:30.699090,1.231,134.6240,-14.4240,141.6106,6.5209,135.0898,113.5081
2026-02-27T17:21:30.748666,49.576,134.6240,-13.2220,141.6106,7.7229,133.8878,116.3929
2026-02-27T17:21:30.797807,49.141,135.8260,-15.6260,142.8126,5.3188,137.4938,118.5366
2026-02-27T17:21:30.799044,1.237,143.0380,-15.6260,150.0246,5.3188,144.7058,121.0212
2026-02-27T17:21:30.851551,52.507,141.8360,-13.2220,148.8226,7.7229,141.0998,124.3925
2026-02-27T17:21:30.898355,46.804,143.0380,-14.4240,150.0246,6.5209,143.5038,127.6008
2026-02-27T17:21:30.899556,1.201,147.8460,-13.2220,154.8326,7.7229,147.1098,129.2551
2026-02-27T17:21:30.947978,48.422,143.0380,-15.6260,150.0246,5.3188,144.7058,130.8605
2026-02-27T17:21:30.997037,49.059,144.2400,-12.0200,151.2266,8.9248,142.3018,131.6752
2026-02-27T17:21:31.047809,50.772,146.6440,-13.2220,153.6306,7.7229,145.9078,132.0825
2026-02-27T17:21:31.048620,0.811,144.2400,-15.6260,151.2266,5.3188,145.9078,133.0616
2026-02-27T17:21:31.097557,48.937,144.2400,-13.2220,151.2266,7.7229,143.5038,133.5512
2026-02-27T17:21:31.148837,51.280,145.4420,-14.4240,152.4286,6.5209,145.9078,133.7960
2026-02-27T17:21:31.151055,2.218,147.8460,-14.4240,154.8326,6.5209,148.3118,133.9184
2026-02-27T17:21:31.198833,47.778,146.6440,-14.4240,153.6306,6.5209,147.1098,134.8071
2026-02-27T17:21:31.246800,47.967,150.2500,-16.8280,157.2366,4.1168,153.1198,136.0833
2026-02-27T17:21:31.270679,23.879,151.4520,-16.8280,158.4386,4.1168,154.3218,140.1100
2026-02-27T17:21:31.349552,78.873,153.8560,-12.0200,160.8426,8.9248,151.9178,142.1634
2026-02-27T17:21:31.351063,1.511,155.0580,-15.6260,162.0446,5.3188,156.7258,144.1155
2026-02-27T17:21:31.453534,102.471,149.0480,-14.4240,156.0346,6.5209,149.5138,143.3108
2026-02-27T17:21:31.455451,1.917,151.4520,-13.2220,158.4386,7.7229,150.7158,142.0181
2026-02-27T17:21:31.498687,43.236,147.8460,-12.0200,154.8326,8.9248,145.9078,140.5356
2026-02-27T17:21:31.499845,1.158,156.2600,-13.2220,163.2466,7.7229,155.5238,140.6532
2026-02-27T17:21:31.500869,1.024,156.2600,-15.6260,163.2466,5.3188,157.9278,144.2258
2026-02-27T17:21:31.548216,47.347,155.0580,-15.6260,162.0446,5.3188,156.7258,146.9631
2026-02-27T17:21:31.599144,50.928,161.0680,-13.2220,168.0546,7.7229,160.3318,149.2905
2026-02-27T17:21:31.600569,1.425,155.0580,-12.0200,162.0446,8.9248,153.1198,149.5296
2026-02-27T17:21:31.647925,47.356,158.6640,-14.4240,165.6506,6.5209,159.1298,150.0000
2026-02-27T17:21:31.698056,50.131,152.6540,-13.2220,159.6406,7.7229,151.9178,147.8596
